station_name,waterbody_name,county_name,lease_num,station_latitude,station_longitude,station_notes
Ship Harbour East,Ship Harbour,Halifax,NA,44.8034666666667,-62.8313333333333,NA
Ship Harbour West,Ship Harbour,Halifax,NA,44.81355,-62.8735,NA
Short Beach,Lamonts Cove,Yarmouth,NA,43.93093,-66.16798,NA
Shut-In Island,St. Margarets Bay,Halifax,NA,44.55729,-63.95423,NA
Sissiboo,Sissiboo River,Digby,NA,44.41007,-65.997,NA
Snake Island,Mahone Bay,Lunenburg,0995,44.54357,-64.17342,NA
Sober Island,Sober Island Pond,Halifax,1348,44.83884,-62.47107,NA
Southside,Antigonish Harbour,Antigonish,NA,45.65977,-61.90426,South Side in NSDFA tracking sheet
Spry Harbour,Spry Bay,Halifax,NA,44.81793,-62.61899,NA
St. Andrews Channel E,Bras d'Or Lakes,Cape Breton,NA,46.24329,-60.30311,NA
St. Georges Bay N,St. Georges Bay,Antigonish,NA,45.708033,-61.856533,NA
St. Georges Bay S,St. Georges Bay,Antigonish,NA,45.6947,-61.850067,NA
St. Georges Bay W,St. Georges Bay,Antigonish,NA,45.698683,-61.864,NA
St. Peters Canal N,Bras d'Or Lakes,Richmond,NA,45.65955,-60.86451,NA
St. Peters Canal S,Bras d'Or Lakes,Richmond,NA,45.65079,-60.87408,NA
Summerside,Pomquet Harbour,Antigonish,NA,45.61193,-61.78677,NA
Tanner Island,Tor Bay,Guysborough,NA,45.23018,-61.25339,NA
Taylors Rock,Port La Tour,Shelburne,NA,43.4683,-65.43304,2021-12-09: DD changed Waterbody to Port La Tour (from Port Latour)
Taylors Rock 1,Port La Tour,Shelburne,NA,43.46743,-65.42283,NA
The Basin,Whitehead Harbour,Guysborough,0839,45.23759,-61.14947,NA
The Basin N,Whitehead Harbour,Guysborough,0839,45.23906,-61.14962,NA
The Brothers,Lobster Bay,Yarmouth,NA,43.63733,-65.82186,NA
The Bull,New Harbour,Guysborough,NA,45.15505,-61.39852,NA
The Channel,Whitehead Harbour,Guysborough,1114,45.24929,-61.14677,NA
The Jolt,Ram Island Passage,Shelburne,NA,43.685747,-65.01819,NA
Tickle Island,Chedabucto Bay,Guysborough,NA,45.35493,-61.03793,NA
Tickle Island 1,Chedabucto Bay,Guysborough,NA,45.3618,-61.044,"Some deployments formerly Tickle Island, renamed due to distance from other deployments at Tickle Island station"
Tiddville,St. Marys Bay,Digby,NA,44.4055166666667,-66.1563166666667,NA
Tidnish,Baie Verte,Cumberland,NA,46.0094666666667,-64.0021833333333,NA
Tilley Point,St. Margarets Bay,Lunenburg,NA,44.54829,-64.01742,NA
Timmonds Cove,Halifax Harbour,Halifax,NA,44.623361,-63.52105,NA
Tracadie 1,Tracadie Harbour,Antigonish,NA,45.64391,-61.64759,NA
Tracadie 2,Tracadie Harbour,Antigonish,NA,45.64404,-61.64776,NA
Tracadie 3,Tracadie Harbour,Antigonish,NA,45.64417,-61.64789,NA
Troy Harbour,Strait of Canso,Inverness,NA,45.6818,-61.4451,NA
Tucker Island,Lobster Bay,Yarmouth,NA,43.71608,-65.94269,NA
Upper Blandford,Mahone Bay,Lunenburg,NA,44.50887,-64.13297,NA
Wadden Cove W,Bras d'Or Lakes,Victoria,NA,46.07871,-60.88893,Called CMAR_NY by OTN
Wallace,Lazy Bay,Cumberland,NA,45.8124166666667,-63.4478666666667,NA
Waterside,Caribou Harbour,Pictou,1351,45.75625,-62.77031,NA
Wedgeport,Lobster Bay,Yarmouth,NA,43.69402,-65.95942,NA
West Bay,Bras d'Or Lakes,Richmond,NA,45.71073,-61.13962,NA
West Ferry Ramp,Country Harbour,Guysborough,0623,45.1739,-61.70754,NA
White Island,Whitehead Harbour,Guysborough,0613,45.24649,-61.1562,NA
White Point Rock,Port Mouton,Queens,NA,43.942859,-64.723337,NA
Wine Harbour,Wine Harbour,Guysborough,0075,45.07229,-61.86092,NA
Yankee Cove,Whitehead Harbour,Guysborough,1091,45.23361,-61.15848,NA
Yarmouth Bar,Careys Cove,Yarmouth,NA,43.83153,-66.17321,NA
